,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,75,CL,1566684707,75,-53.16,-70.91,44.6,10.29
1,Mataura,50,NZ,1566684709,92,-46.19,168.86,48.0,5.99
2,Tasiilaq,97,GL,1566684711,75,65.61,-37.64,44.6,6.93
3,Kungurtug,94,RU,1566684712,87,50.6,97.53,39.98,0.49
4,Surazh,32,RU,1566684713,83,53.01,32.39,57.8,2.84
5,Yelizovo,75,RU,1566684715,87,53.19,158.38,51.8,4.47
6,Bathsheba,75,BB,1566684511,74,13.22,-59.52,84.2,17.22
7,Cabo San Lucas,75,MX,1566684646,78,22.89,-109.91,90.0,3.36
8,Suraabad,0,AZ,1566684720,73,40.82,49.47,75.2,6.93
9,Abhaynagar,100,BD,1566684722,90,23.01,89.4,78.86,8.37
10,Kruisfontein,0,ZA,1566684723,67,-34.0,24.73,55.82,5.44
11,Port Hedland,0,AU,1566684724,76,-20.31,118.58,57.2,4.7
12,Port Elizabeth,1,US,1566684726,49,39.31,-74.98,78.01,10.29
13,Victoria,75,BN,1566684727,88,5.28,115.24,80.6,2.24
14,Butaritari,100,KI,1566684728,70,3.07,172.79,84.62,6.98
15,Arraial do Cabo,75,BR,1566684730,77,-22.97,-42.02,69.8,9.17
16,Albany,75,US,1566684510,53,42.65,-73.75,73.99,6.93
17,Sabang,100,PH,1566684733,95,13.8,121.11,75.99,0.96
18,Airai,0,TL,1566684735,59,-8.93,125.41,65.54,4.21
19,Vanavara,100,RU,1566684736,96,60.35,102.28,48.44,4.34
20,Ushuaia,75,AR,1566684738,61,-54.81,-68.31,46.4,5.82
21,Klaksvik,100,FO,1566684740,93,62.23,-6.59,51.8,20.8
22,Bluff,0,AU,1566684742,82,-23.58,149.07,56.0,4.85
23,Carutapera,37,BR,1566684745,80,-1.2,-46.02,79.04,8.52
24,Berlevag,100,NO,1566684746,67,70.86,29.09,44.12,7.96
25,Georgetown,20,GY,1566684642,70,6.8,-58.16,86.0,10.29
26,Sassandra,100,CI,1566684749,94,4.95,-6.09,72.92,4.05
27,Atuona,4,PF,1566684751,70,-9.8,-139.03,79.22,12.77
28,Barrow,67,AR,1566684753,63,-38.31,-60.23,59.78,9.51
29,Clyde River,97,CA,1566684754,47,70.47,-68.59,51.32,1.74
30,Olinda,20,AU,1566684756,86,-37.84,145.39,48.0,10.29
31,Tynda,41,RU,1566684757,94,55.15,124.74,48.62,0.87
32,Saint George,0,GR,1566684759,53,39.45,22.34,80.6,5.82
33,Kahului,40,US,1566684760,52,20.89,-156.47,89.6,17.22
34,Nantucket,40,US,1566684743,72,41.28,-70.1,69.01,19.46
35,Havoysund,53,NO,1566684763,86,71.0,24.66,39.2,4.7
36,Broome,99,GB,1566684764,87,52.47,1.45,66.2,2.24
37,Salalah,75,OM,1566684766,94,17.01,54.1,78.8,6.93
38,Cap Malheureux,75,MU,1566684767,94,-19.98,57.61,68.0,5.82
39,Jamestown,2,AU,1566684623,94,-33.21,138.6,37.1,3.44
40,Houma,100,CN,1566684769,86,35.63,111.36,68.78,9.17
41,Poum,91,MK,1566684772,85,41.28,20.71,61.04,3.8
42,Avarua,80,CK,1566684773,83,-21.21,-159.78,77.0,11.41
43,Rikitea,73,PF,1566684774,68,-23.12,-134.97,69.5,23.26
